"Land";"Diplom";"Club";"K/L";"Bemerkung";"DB Seite";"ID"
"YV";"San Cristobal Award";;"L";"Seite 1064 - neue Gebühr, (RB30)";390;2038
"OK";"VKV 100 OK Diplom";;"L";"QRT (S.1930)";390;2206
"YV";"100-200-300 YV Award";;"L";;391;1289
"YV";"50-100 South America Award";;"L";;391;1322
"YV";"DX-Peditions Award";;"L";;391;1630
"YV";"The Caribbean Award";;"L";;391;2111
"YV";"The Islands Award";;"L";;391;2124
"YV";"The South America Award";;"L";;391;2134
"W";"YASME Award";"YASME";"L";;392;2400
"ON";"Belgian Telegraphy Club";;"L";"Seite 1491 - Adresse neu S. 2076";394;656
"ON";"BTC";"BTC";"L";"Adresse neu S. 2076";394;1430
;"Countries-Zones-Continents Award";;"L";"Seite 1177: QRT";395;366
"W";"Century Cities Award";;"L";;396;1452
"EA8";"Canary Islands Award";;"L";"ersetzt Seite 78 - in dieser Form QRT 2001";397;1442
"JA";"The Station Award";;"L";"(RB29+31)";398;2135
"DL";"Saargau Award";"Q04";"L";"Seite 1177 - Adresse neu, (RB38/39)";399;2035
"DL";"Distrikt Nordsee Diplom";"DVI";"L";"(RB31), Seite 1765: Adresse + Gebühr neu";400;1592
"DL";"Hermann Löns Diplom";"H50";"L";;401;1727
"DL";"Wülfrather Gründungsdiplom";"R29";"L";"Seite 1064 Gebühr + Manager neu - QRT (S.1930)";401;2378
"DL";"Jägermeister-Trophäe";;"L";"(RB31)";402;2164
"DL";"Kiepenkerl-Plakette";"N33";"L";"Seite 1064 - QRT";404;1799
"W";"WARM (Albany Club)";;"L";;405;2276
"ZS";"Algoa Branch Award";;"L";;406;1355
"W";"WBCC";;"L";"s. auch S. 326 / 342, (RB28)";406;2294
"OE5";"Stelzhammer Diplom";;"L";"(RB40/41)";407;2079
"PY";"5 Band PPC Award";"PPC";"L";;409;1313
"LZ";"NRB";;"L";;410;1902
"EA6";"Diploma Cala Ratjada";;"L";"QRT (S.1930)";411;1577
"HB9";"Old Lucerne Award";;"L";;412;1919
"PY";"EP-AA";;"L";"QRT ???";413;1638
"PY";"WAPY Award";;"L";"Seite 1491: Adresse neu - QRT ???";413;2275
"PY5";"Diploma Parana";;"L";"QRT ???";414;1579
"PY5";"Diploma Curitiba";;"L";"QRT ???";415;1515
"LX";"EU Community Award";;"L";"(RB34)";415;1642
"W";"Island DX Award";;"L";;417;1767
"5N";"5N-DX";;"L";;418;1327
"5N";"Nigeria Diplom-Programm";;"B";;418;1583
"5N";"WNS";;"L";;418;2328
"JA";"Diplom 73";;"L";;419;1570
"JA";"Mito 310 Award";;"L";"Seite 1369 - QRT";419;1870
"5N";"NOA";;"L?";;419;1895
"JA";"Diplom OM 88";;"L";;420;1572
"VK4";"VK4 Award - Worked all Queensland";;"L";"QRT (S.1930)";421;2205
"VK";"W A Cities and Towns";;"L";;421;2220
"VK";"Worked all shires";;"L";;421;2346
"YU";"FIRAC Award";"FIRAC";"L";;422;1672
"DL";"DAFG Diplomprogramm";;"B";"QRT (S.1930)";425;1509
"DL";"Deutsches RTTY Diplom";"DAFG";"L";"QRT (S.1930)";425;1611
"DL";"Deutsches Faksimile Diplom";"DAFG";"L";"QRT (S.1930)";426;1561
"DL";"Deutsches HELL Diplom";"DAFG";"L";"QRT (S.1930)";426;1563
"DL";"Deutsches SSTV Diplom";"DAFG";"L";"QRT (S.1930)";426;1617
"F";"REF Diplomprogramm";"REF";"B";"(RB35/36)";427;1683
"F";"5 Band DDFM";"REF";"L";"neue Adresse S. 2076";429;1308
"F";"DDFM";"REF";"L";"neue Adresse S. 2076";429;1550
"F";"DPF";"REF";"L";"neue Adresse S. 2076";429;1610
"F";"DDTOM";"REF";"L";;431;1554
"F";"DTC";;"L";;431;1619
"F";"FCW 500";;"L";;431;1666
"F";"DEE";;"L";;432;1555
"F";"DTA";;"L";"neue Adresse S. 2076";432;1618
"F";"YL of France";;"L";;432;2402
"PA";"88 Diplom";;"L";"QRT";433;1330
"PA";"Amsterdam-YL Award";;"L";"QRT";433;1371
"VK";"The Wildcat Award";;"L";;434;2141
"PY";"WBYL";;"L";"Seite 1369: QRT";434;2297
"DL";"1000 Jahre Duisburg";;"L";;435;1293
"DL";"AGCW-Wandteller";"AGCW";"L";"(RB40/41)";436;1345
"OE";"Schwarzatal Diplom";;"L";"(RB33)";437;2050
"DL";"Überlingen Award";"A31";"L";;438;2177
"G";"RSGB 28 Countries Award";"RSGB";"L";"QRT (S.1930)";440;2017
"JA";"Single Mode 5 Bands";;"L";;440;2064
"SM";"Magnus Stenbock Award";;"L";;441;1839
"PA";"NLCC-Award";;"L";"S. 2026 Gebühr und Adresse neu";442;1894
"VE";"Ten-Ten-Canada Award";;"L";;443;2102
"PA";"Doetinchem Award";;"L";;444;1604
"F";"Worked all Zones SWL";;"L";;445;2365
